x_m,y_m,r
11.4699025581551,0.0301916105820363,-6.5518110611356e-05
11.5705157193085,0.0304183125884124,-6.55181132070442e-05
11.6711288799582,0.0306443513482254,-6.55181157928058e-05
11.7717420400998,0.0308697268614787,-6.55181183928481e-05
11.8723551997289,0.0310944391281756,-6.55181209974386e-05
11.9729683588412,0.0313184881483196,-6.55181235803215e-05
12.0735815174322,0.031541873921914,-6.55181261507802e-05
12.1741946754975,0.0317645964489625,-6.55181287824114e-05
12.2748078330328,0.0319866557294684,-6.55181313143051e-05
12.3754209900335,0.0322080517634354,-6.55181339640613e-05
12.4760341464954,0.0324287845508669,-6.55181365249746e-05
12.576647302414,0.0326488540917666,-6.55181391377768e-05
12.677260457785,0.0328682603861381,-6.5518141722779e-05
12.7778736126039,0.0330870034339849,-6.55181442930732e-05
12.8784867668663,0.0333050832353109,-6.55181468943158e-05
12.9790999205678,0.0335224997901197,-6.55181495119206e-05
13.0797130737041,0.033739253098415,-6.55181520682637e-05
13.1803262262707,0.0339553431602007,-6.55181546783459e-05
13.2809393782632,0.0341707699754804,-6.55181572845518e-05
13.3815525296773,0.034385533544258,-6.55181598502352e-05
13.4821656805085,0.0345996338665374,-6.55181624618446e-05
13.5827788307525,0.0348130709423225,-6.55181650423473e-05
13.6833919804048,0.0350258447716171,-6.55181676290695e-05
13.784005129461,0.0352379553544252,-6.55181702381551e-05
13.8846182779168,0.0354494026907508,-6.55181728099134e-05
13.9852314257677,0.0356601867805979,-6.55181754346783e-05
14.0858445730094,0.0358703076239704,-6.5518177991836e-05
14.1864577196374,0.0360797652208725,-6.55181806134534e-05
14.2870708656474,0.0362885595713082,-6.55181831758034e-05
14.3876840110349,0.0364966906752817,-6.55181857822556e-05
14.4882971557955,0.036704158532797,-6.5518188382556e-05
14.5889102999249,0.0369109631438584,-6.55181909757749e-05
14.6895234434187,0.0371171045084701,-6.55181935586605e-05
14.7901365862724,0.0373225826266362,-6.55181961590202e-05
14.8907497284817,0.0375273974983611,-6.55181987294008e-05
14.9913628700421,0.0377315491236491,-6.55182013344628e-05
15.0919760109492,0.0379350375025044,-6.5518203940274e-05
15.1925891511987,0.0381378626349314,-6.55182065413857e-05
15.2932022907862,0.0383400245209344,-6.55182090942279e-05
15.3938154297072,0.038541523160518,-6.55182117209542e-05
15.4944285679574,0.0387423585536865,-6.55182143085493e-05
15.5950417055324,0.0389425307004444,-6.55182168915943e-05
15.6956548424277,0.0391420396007961,-6.55182194854139e-05
15.796267978639,0.0393408852547463,-6.55182220747805e-05
15.8968811141618,0.0395390676622994,-6.55182246842426e-05
15.9974942489918,0.03973658682346,-6.5518227268274e-05
16.0981073831246,0.0399334427382328,-6.5518229846022e-05
16.1987205165557,0.0401296354066224,-6.5518232464402e-05
16.2993336492808,0.0403251648286334,-6.55182350385203e-05
16.3999467812954,0.0405200310042705,-6.55182376507019e-05
16.5005599125953,0.0407142339335386,-6.55182402336544e-05
16.6011730431759,0.0409077736164422,-6.55182428028512e-05
16.7017861730328,0.0411006500529863,-6.55182454460073e-05
16.8023993021618,0.0412928632431756,-6.55182479956189e-05
16.9030124305583,0.041484413187015,-6.55182506154559e-05
17.003625558218,0.0416752998845093,-6.55182531885732e-05
17.1042386851364,0.0418655233356634,-6.55182558134191e-05
17.2048518113093,0.0420550835404823,-6.55182583649393e-05
17.3054649367321,0.042243980498971,-6.5518260985258e-05
17.4060780614005,0.0424322142111344,-6.55182635707318e-05
17.5066911853101,0.0426197846769776,-6.55182661601231e-05
17.6073043084564,0.0428066918965055,-6.55182687783464e-05
17.7079174308352,0.0429929358697233,-6.55182713464765e-05
17.8085305524419,0.043178516596636,-6.55182739393052e-05
17.9091436732722,0.0433634340772489,-6.55182765407439e-05
18.0097567933217,0.0435476883115671,-6.5518279125146e-05
18.1103699125859,0.0437312792995957,-6.55182817477243e-05
